,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
212,Overcome,Nothing But Thieves,alternative pop rock,2023,2024‑02‑02,164,88,-5,39,34,215,0,6,66
213,We Make Hits,Yard Act,crank wave,2024,2024‑02‑02,110,89,-4,6,81,183,6,8,53
214,Summer of Luv (feat. Unknown Mortal Orchestra),Portugal. The Man,indie rock,2023,2024‑02‑02,76,86,-5,59,89,159,14,6,60
215,Young In America,Barns Courtney,modern alternative rock,2023,2024‑02‑02,140,86,-7,9,37,225,0,16,57
216,The Tower,Future Islands,alternative dance,2023,2024‑02‑02,140,94,-5,8,63,217,9,4,58
217,Everybody Knows I'm High,SHAED,electropop,2024,2024‑02‑02,100,75,-4,36,40,171,1,3,47
218,Next Exit,Vacations,newcastle nsw indie,2023,2024‑02‑02,80,78,-7,67,79,201,0,4,62
219,hotline,bby,,2023,2024‑02‑02,165,81,-5,5,78,137,1,5,61
220,Mother Nature,MGMT,alternative rock,2023,2024‑02‑02,81,74,-5,6,43,236,15,3,60
221,Seasons,Thirty Seconds To Mars,modern rock,2023,2024‑02‑02,85,73,-5,33,38,166,8,4,67
222,Alive!,Bakar,uk alternative hip hop,2023,2024‑02‑02,97,74,-5,9,58,232,52,3,62
223,The Place That Makes Me Happy,The Moss,,2023,2024‑02‑02,156,76,-6,8,91,181,0,5,55
224,run away girl,Alice Merton,,2024,2024‑02‑02,140,85,-4,15,57,230,5,5,60
225,Pink Skies,Giant Rooks,,2024,2024‑02‑02,91,89,-5,35,62,201,3,5,17
226,Pretty Vicious,The Struts,glam rock,2023,2024‑02‑02,142,89,-4,8,55,310,0,4,52
227,S’old,Taking Back Sunday,emo,2023,2024‑02‑02,167,89,-4,16,48,163,0,6,55
228,The American Dream Is Killing Me,Green Day,modern rock,2023,2024‑02‑02,143,95,-3,27,61,186,0,5,64
229,nice to know you,lovelytheband,pov: indie,2023,2024‑02‑02,172,89,-5,27,60,195,19,30,64
230,Yes I'm A Mess,AJR,pov: indie,2023,2024‑02‑02,92,62,-6,11,46,165,3,7,69
231,Good Old Days,The Revivalists,modern alternative rock,2023,2024‑02‑02,109,95,-4,16,78,262,1,5,57
232,Good People,Mumford & Sons,modern folk rock,2024,2024‑02‑02,98,75,-5,12,51,186,21,5,71
233,Sofa King,Royel Otis,,2023,2024‑02‑02,97,90,-5,25,86,196,0,4,66
234,Blame Brett,The Beaches,toronto indie,2023,2024‑02‑02,156,87,-3,33,79,177,1,4,70
235,OMG,Suki Waterhouse,indie pop,2024,2024‑02‑02,106,69,-5,7,30,179,4,3,71
